,fare,name_from,name_to,node_from,node_to,key,
160,448,Fremont,Daly City,15526,15519,1551915526,15526   15519   448  ;Fremont to Daly City
161,444,Fremont,Colma,15526,15539,1552615539,15526   15539   444  ;Fremont to Colma
162,458,Fremont,South San Francisco,15526,15540,1552615540,15526   15540   458  ;Fremont to South San Francisco
163,476,Fremont,San Bruno,15526,15541,1552615541,15526   15541   476  ;Fremont to San Bruno
164,787,Fremont,SFO,15526,15542,1552615542,15526   15542   787  ;Fremont to SFO
165,497,Fremont,Millbrae,15526,15543,1552615543,15526   15543   497  ;Fremont to Millbrae
166,129,Union City,South Hayward,15527,15528,1552715528,15527   15528   129  ;Union City to South Hayward
167,129,Union City,Hayward,15527,15529,1552715529,15527   15529   129  ;Union City to Hayward
168,129,Union City,Bay Fair,15527,15530,1552715530,15527   15530   129  ;Union City to Bay Fair
169,220,Union City,San Leandro,15527,15531,1552715531,15527   15531   220  ;Union City to San Leandro
170,245,Union City,Coliseum/Oakland Airport,15527,15532,1552715532,15527   15532   245  ;Union City to Coliseum/Oakland Airport
171,259,Union City,Fruitvale,15527,15533,1552715533,15527   15533   259  ;Union City to Fruitvale
172,276,Union City,Lake Merritt,15527,15534,1552715534,15527   15534   276  ;Union City to Lake Merritt
173,339,Union City,Richmond,15527,15520,1552015527,15527   15520   339  ;Union City to Richmond
174,325,Union City,El Cerrito Del Norte,15527,15521,1552115527,15527   15521   325  ;Union City to El Cerrito Del Norte
175,315,Union City,El Cerrito Plaza,15527,15522,1552215527,15527   15522   315  ;Union City to El Cerrito Plaza
176,301,Union City,North Berkeley,15527,15524,1552415527,15527   15524   301  ;Union City to North Berkeley
177,297,Union City,Berkeley,15527,15523,1552315527,15527   15523   297  ;Union City to Berkeley
178,290,Union City,Ashby,15527,15525,1552515527,15527   15525   290  ;Union City to Ashby
179,455,Union City,Pittsburg/ Bay Point,15527,15536,1552715536,15527   15536   455  ;Union City to Pittsburg/ Bay Point
180,420,Union City,North Concord,15527,15535,1552715535,15527   15535   420  ;Union City to North Concord
181,406,Union City,Concord,15527,15501,1550115527,15527   15501   406  ;Union City to Concord
182,378,Union City,Pleasant Hill,15527,15502,1550215527,15527   15502   378  ;Union City to Pleasant Hill
183,367,Union City,Walnut Creek,15527,15503,1550315527,15527   15503   367  ;Union City to Walnut Creek
184,343,Union City,Lafayette,15527,15504,1550415527,15527   15504   343  ;Union City to Lafayette
185,318,Union City,Orinda,15527,15505,1550515527,15527   15505   318  ;Union City to Orinda
186,283,Union City,Rockridge,15527,15506,1550615527,15527   15506   283  ;Union City to Rockridge
187,283,Union City,MacArthur,15527,15507,1550715527,15527   15507   283  ;Union City to MacArthur
188,276,Union City,19th St Oakland,15527,15508,1550815527,15527   15508   276  ;Union City to 19th St Oakland
189,276,Union City,12th St Oakland City Center,15527,15509,1550915527,15527   15509   276  ;Union City to 12th St Oakland City Center
190,283,Union City,West Oakland,15527,15510,1551015527,15527   15510   283  ;Union City to West Oakland
191,392,Union City,Embarcadero,15527,15511,1551115527,15527   15511   392  ;Union City to Embarcadero
192,392,Union City,Montgomery,15527,15512,1551215527,15527   15512   392  ;Union City to Montgomery
193,392,Union City,Powell,15527,15513,1551315527,15527   15513   392  ;Union City to Powell
194,392,Union City,Civic Center,15527,15514,1551415527,15527   15514   392  ;Union City to Civic Center
195,399,Union City,16th St Mission,15527,15515,1551515527,15527   15515   399  ;Union City to 16th St Mission
196,402,Union City,24th St Mission,15527,15516,1551615527,15527   15516   402  ;Union City to 24th St Mission
197,413,Union City,Glen Park,15527,15517,1551715527,15527   15517   413  ;Union City to Glen Park
198,416,Union City,Balboa Park,15527,15518,1551815527,15527   15518   416  ;Union City to Balboa Park
199,423,Union City,Daly City,15527,15519,1551915527,15527   15519   423  ;Union City to Daly City
200,423,Union City,Colma,15527,15539,1552715539,15527   15539   423  ;Union City to Colma
201,434,Union City,South San Francisco,15527,15540,1552715540,15527   15540   434  ;Union City to South San Francisco
202,451,Union City,San Bruno,15527,15541,1552715541,15527   15541   451  ;Union City to San Bruno
203,766,Union City,SFO,15527,15542,1552715542,15527   15542   766  ;Union City to SFO
204,476,Union City,Millbrae,15527,15543,1552715543,15527   15543   476  ;Union City to Millbrae
205,129,South Hayward,Hayward,15528,15529,1552815529,15528   15529   129  ;South Hayward to Hayward
206,129,South Hayward,Bay Fair,15528,15530,1552815530,15528   15530   129  ;South Hayward to Bay Fair
207,171,South Hayward,San Leandro,15528,15531,1552815531,15528   15531   171  ;South Hayward to San Leandro
208,203,South Hayward,Coliseum/Oakland Airport,15528,15532,1552815532,15528   15532   203  ;South Hayward to Coliseum/Oakland Airport
209,224,South Hayward,Fruitvale,15528,15533,1552815533,15528   15533   224  ;South Hayward to Fruitvale
210,245,South Hayward,Lake Merritt,15528,15534,1552815534,15528   15534   245  ;South Hayward to Lake Merritt
211,304,South Hayward,Richmond,15528,15520,1552015528,15528   15520   304  ;South Hayward to Richmond
212,294,South Hayward,El Cerrito Del Norte,15528,15521,1552115528,15528   15521   294  ;South Hayward to El Cerrito Del Norte
213,280,South Hayward,El Cerrito Plaza,15528,15522,1552215528,15528   15522   280  ;South Hayward to El Cerrito Plaza
214,269,South Hayward,North Berkeley,15528,15524,1552415528,15528   15524   269  ;South Hayward to North Berkeley
215,266,South Hayward,Berkeley,15528,15523,1552315528,15528   15523   266  ;South Hayward to Berkeley
216,259,South Hayward,Ashby,15528,15525,1552515528,15528   15525   259  ;South Hayward to Ashby
217,420,South Hayward,Pittsburg/ Bay Point,15528,15536,1552815536,15528   15536   420  ;South Hayward to Pittsburg/ Bay Point
218,385,South Hayward,North Concord,15528,15535,1552815535,15528   15535   385  ;South Hayward to North Concord
219,371,South Hayward,Concord,15528,15501,1550115528,15528   15501   371  ;South Hayward to Concord
220,343,South Hayward,Pleasant Hill,15528,15502,1550215528,15528   15502   343  ;South Hayward to Pleasant Hill
221,336,South Hayward,Walnut Creek,15528,15503,1550315528,15528   15503   336  ;South Hayward to Walnut Creek
222,311,South Hayward,Lafayette,15528,15504,1550415528,15528   15504   311  ;South Hayward to Lafayette
223,283,South Hayward,Orinda,15528,15505,1550515528,15528   15505   283  ;South Hayward to Orinda
224,248,South Hayward,Rockridge,15528,15506,1550615528,15528   15506   248  ;South Hayward to Rockridge
225,248,South Hayward,MacArthur,15528,15507,1550715528,15528   15507   248  ;South Hayward to MacArthur
226,245,South Hayward,19th St Oakland,15528,15508,1550815528,15528   15508   245  ;South Hayward to 19th St Oakland
227,245,South Hayward,12th St Oakland City Center,15528,15509,1550915528,15528   15509   245  ;South Hayward to 12th St Oakland City Center
